"V1","V2","V3"
-8,6,-16
-10,6,-16
-6,8,-16
-8,8,-16
-10,8,-16
-6,4,-14
-8,4,-14
-10,4,-14
-6,6,-14
-8,6,-14
-10,6,-14
-6,8,-14
-8,8,-14
-10,8,-14
-10,2,-12
-4,4,-12
-6,4,-12
-8,4,-12
-10,4,-12
-4,6,-12
-6,6,-12
-8,6,-12
-10,6,-12
-4,8,-12
-6,8,-12
-8,8,-12
-10,8,-12
-6,10,-12
-8,10,-12
-10,10,-12
-12,10,-12
-10,12,-12
-12,12,-12
-4,4,-10
-6,4,-10
-8,4,-10
-10,4,-10
-4,6,-10
-6,6,-10
-8,6,-10
-10,6,-10
-4,8,-10
-6,8,-10
-8,8,-10
-10,8,-10
-4,10,-10
-6,10,-10
-8,10,-10
-10,10,-10
-12,10,-10
-6,12,-10
-8,12,-10
-10,12,-10
-12,12,-10
-8,14,-10
-10,14,-10
-12,14,-10
-14,14,-10
-10,16,-10
-12,16,-10
-14,16,-10
-4,4,-8
-6,4,-8
-8,4,-8
-4,6,-8
-6,6,-8
-8,6,-8
-10,6,-8
-4,8,-8
-6,8,-8
-8,8,-8
-10,8,-8
-4,10,-8
-6,10,-8
-8,10,-8
-10,10,-8
-6,12,-8
-8,12,-8
-10,12,-8
-12,12,-8
-6,14,-8
-8,14,-8
-10,14,-8
-12,14,-8
-14,14,-8
-8,16,-8
-10,16,-8
-12,16,-8
-14,16,-8
-4,4,-6
-6,4,-6
-4,6,-6
-6,6,-6
-2,8,-6
-4,8,-6
-6,8,-6
-4,10,-6
-6,10,-6
-4,12,-6
-6,12,-6
-6,14,-6
-8,14,-6
-8,16,-6
-10,16,-6
-8,18,-6
-10,18,-6
-4,4,-4
-6,4,-4
-2,6,-4
-4,6,-4
-6,6,-4
-2,8,-4
-4,8,-4
-6,8,-4
-2,10,-4
-4,10,-4
-6,10,-4
-4,12,-4
-6,12,-4
-6,14,-4
-6,16,-4
-8,16,-4
-10,16,-4
-8,18,-4
-10,18,-4
-4,4,-2
-2,6,-2
-4,6,-2
-2,8,-2
-4,8,-2
-4,10,-2
-4,12,-2
-4,14,-2
-6,16,-2
-6,18,-2
10,6,-14
8,6,-14
12,8,-14
10,8,-14
8,8,-14
6,8,-14
12,10,-14
10,10,-14
8,10,-14
10,4,-12
8,4,-12
6,4,-12
10,6,-12
8,6,-12
6,6,-12
12,8,-12
10,8,-12
8,8,-12
6,8,-12
12,10,-12
10,10,-12
8,10,-12
6,10,-12
12,12,-12
10,12,-12
8,12,-12
10,4,-10
8,4,-10
6,4,-10
4,4,-10
10,6,-10
8,6,-10
6,6,-10
4,6,-10
12,8,-10
10,8,-10
8,8,-10
6,8,-10
4,8,-10
12,10,-10
10,10,-10
8,10,-10
6,10,-10
4,10,-10
12,12,-10
10,12,-10
8,12,-10
6,12,-10
14,14,-10
12,14,-10
10,14,-10
8,14,-10
14,16,-10
12,16,-10
10,16,-10
10,4,-8
8,4,-8
6,4,-8
4,4,-8
10,6,-8
8,6,-8
6,6,-8
4,6,-8
12,8,-8
10,8,-8
8,8,-8
6,8,-8
4,8,-8
12,10,-8
10,10,-8
8,10,-8
6,10,-8
4,10,-8
12,12,-8
10,12,-8
8,12,-8
6,12,-8
14,14,-8
12,14,-8
10,14,-8
8,14,-8
6,14,-8
14,16,-8
12,16,-8
10,16,-8
8,16,-8
14,18,-8
12,18,-8
10,18,-8
14,20,-8
12,20,-8
6,4,-6
4,4,-6
8,6,-6
6,6,-6
4,6,-6
10,8,-6
8,8,-6
6,8,-6
4,8,-6
6,10,-6
4,10,-6
6,12,-6
4,12,-6
8,14,-6
6,14,-6
10,16,-6
8,16,-6
12,18,-6
10,18,-6
8,18,-6
14,20,-6
12,20,-6
10,20,-6
4,4,-4
6,6,-4
4,6,-4
6,8,-4
4,8,-4
6,10,-4
4,10,-4
6,12,-4
4,12,-4
6,14,-4
4,14,-4
8,16,-4
6,16,-4
10,18,-4
8,18,-4
10,20,-4
8,20,-4
4,4,-2
4,6,-2
4,8,-2
4,12,-2
4,14,-2
6,16,-2
6,18,-2
4,4,0
4,6,0
