Parcel,SV,DMN,propSV,propDMN,Chi_squared,Pval
ROFCROI,9,25,0.3333333333333333,0.3125,0,1
R8AdROI,5,17,0.18518518518518517,0.2125,0,1
R9pROI,4,12,0.14814814814814814,0.15,0,1
R31pvROI,9,25,0.3333333333333333,0.3125,0,1
L8AdROI,7,19,0.25925925925925924,0.2375,0,1
L31pvROI,11,30,0.4074074074074074,0.375,0,1
L31pdROI,8,23,0.2962962962962963,0.2875,0,1
Lv23abROI,8,26,0.2962962962962963,0.325,0,1
R9aROI,4,9,0.14814814814814814,0.1125,0.02,1
R10dROI,7,17,0.25925925925925924,0.2125,0.06,1
L23dROI,7,17,0.25925925925925924,0.2125,0.06,1
Rd23abROI,10,25,0.37037037037037035,0.3125,0.1,1
R23dROI,9,22,0.3333333333333333,0.275,0.11,1
RRSCROI,10,24,0.37037037037037035,0.3,0.19,1
L9mROI,10,24,0.37037037037037035,0.3,0.19,1
Lp10pROI,7,14,0.25925925925925924,0.175,0.45,1
R31aROI,4,19,0.14814814814814814,0.2375,0.5,1
LPCVROI,3,16,0.1111111111111111,0.2,0.57,1
Rp32ROI,12,27,0.4444444444444444,0.3375,0.59,1
R10vROI,14,32,0.5185185185185185,0.4,0.72,0.9998
R10rROI,14,32,0.5185185185185185,0.4,0.72,0.9998
L31aROI,10,20,0.37037037037037035,0.25,0.91,0.999
Lp24ROI,10,20,0.37037037037037035,0.25,0.91,0.999
Ld32ROI,10,20,0.37037037037037035,0.25,0.91,0.999
R31pdROI,3,18,0.1111111111111111,0.225,1.02,0.9942
Rs32ROI,11,22,0.4074074074074074,0.275,1.1,0.9908
Rv23abROI,6,29,0.2222222222222222,0.3625,1.22,0.9882
L7mROI,6,29,0.2222222222222222,0.3625,1.22,0.9882
Rd32ROI,11,21,0.4074074074074074,0.2625,1.39,0.9808
L9pROI,6,8,0.2222222222222222,0.1,1.69,0.9618
Ld23abRO,15,31,0.5555555555555556,0.3875,1.69,0.9618
LOFCROI,10,17,0.37037037037037035,0.2125,1.9,0.9296
Rp24ROI,12,22,0.4444444444444444,0.275,1.95,0.9144
R9mROI,13,24,0.48148148148148145,0.3,2.19,0.8656
R25ROI,9,13,0.3333333333333333,0.1625,2.64,0.7596
L10dROI,10,15,0.37037037037037035,0.1875,2.82,0.7445999999999999
LRSCROI,13,22,0.48148148148148145,0.275,3.03,0.6978
L10rROI,14,23,0.5185185185185185,0.2875,3.8,0.511
L10vROI,17,28,0.6296296296296297,0.35,5.38,0.2602
Lp32ROI,14,20,0.5185185185185185,0.25,5.53,0.24839999999999995
Ra24ROI,18,30,0.6666666666666666,0.375,5.81,0.19540000000000002
La24ROI,18,28,0.6666666666666666,0.35,7.02,0.09919999999999995
L25ROI,13,15,0.48148148148148145,0.1875,7.57,0.07440000000000002
R7mROI,2,32,0.07407407407407407,0.4,8.45,0.04520000000000002
Ls32ROI,16,17,0.5925925925925926,0.2125,11.95,0.007000000000000006
