"SubjID","nTR","Positive","Negative","NonSignificant","SignificantPos","SignificantNeg","Total"
100307,4800,7782664,3739736,2288539,6595013,2638848,11522400
100408,4799,7301434,4220966,2825834,5826644,2869922,11522400
101006,4798,7126698,4395702,2717683,5724377,3080340,11522400
101309,4800,7116817,4405583,2849765,5649503,3023132,11522400
102816,4711,6948944,4573456,2779908,5523310,3219182,11522400
103818,4800,8082017,3440383,2396730,6815246,2310424,11522400
105115,4800,7913792,3608608,2387451,6667010,2467939,11522400
105216,4794,7634724,3887676,2028178,6585974,2908248,11522400
107422,4800,7727938,3794462,2565250,6386682,2570468,11522400
108323,4795,7026416,4495984,2243443,5886328,3392629,11522400
108525,4792,7168290,4354110,3093556,5563386,2865458,11522400
109325,4799,7821524,3700876,2324544,6608264,2589592,11522400
118730,4800,7802694,3719706,2646538,6414894,2460968,11522400
120515,4799,7262786,4259614,3231873,5563175,2727352,11522400
121618,4797,7373575,4148825,3272661,5646725,2603014,11522400
123117,4761,7178718,4343682,2522853,5884087,3115460,11522400
123420,4751,7049234,4473166,2701176,5655681,3165543,11522400
123925,4786,7206232,4316168,2521763,5903941,3096696,11522400
128632,4800,8095433,3426967,2122765,6980170,2419465,11522400
130013,4791,7314416,4207984,2546483,6006713,2969204,11522400
131217,4800,7473630,4048770,2825730,6001398,2695272,11522400
132118,4796,7879884,3642516,2694384,6459129,2368887,11522400
135225,4799,7398407,4123993,2464920,6114198,2943282,11522400
135528,4799,7819171,3703229,2652158,6426223,2444019,11522400
136227,4800,7488263,4034137,2792869,6026045,2703486,11522400
139233,4794,7633340,3889060,2676882,6236331,2609187,11522400
140824,4661,6844873,4677527,2829909,5392820,3299671,11522400
143325,4783,7917512,3604888,2437286,6630588,2454526,11522400
144226,4797,7817481,3704919,2268821,6634392,2619187,11522400
151728,4661,6900394,4622006,2657845,5535743,3328812,11522400
156637,4785,7769644,3752756,2668461,6361271,2492668,11522400
159138,4735,7254698,4267702,2738346,5831368,2952686,11522400
159239,4800,7873633,3648767,2482718,6574834,2464848,11522400
161630,4800,7973292,3549108,2400277,6716194,2405929,11522400
161731,4800,8156271,3366129,2227516,6984617,2310267,11522400
163836,4793,7447021,4075379,3468860,5596502,2457038,11522400
164939,4764,7661832,3860568,2587051,6307027,2628322,11522400
165840,4794,6521633,5000767,2911225,5036098,3575077,11522400
169444,4800,7777769,3744631,2649238,6391282,2481880,11522400
172534,4799,7054636,4467764,2443140,5804698,3274562,11522400
175035,4793,6762576,4759824,2735295,5372516,3414589,11522400
180129,4800,7701673,3820727,2629826,6326136,2566438,11522400
180432,4800,7759578,3762822,2411063,6507034,2604303,11522400
182739,4800,7256968,4265432,2704034,5859943,2958423,11522400
185139,4800,7731012,3791388,2154054,6612625,2755721,11522400
191033,4800,7876390,3646010,2385500,6627773,2509127,11522400
192843,4800,7441235,4081165,2763623,5999203,2759574,11522400
193239,4800,7581770,3940630,2412544,6329116,2780740,11522400
196144,4800,7715537,3806863,2652075,6331176,2539149,11522400
196750,4796,7722566,3799834,2385839,6476451,2660110,11522400
197550,4800,7634645,3887755,2360416,6411930,2750054,11522400
198350,4760,7283473,4238927,2622984,5920804,2978612,11522400
198451,4779,7974699,3547701,2118898,6868334,2535168,11522400
200109,4800,7872996,3649404,2283343,6691183,2547874,11522400
205220,4677,7375322,4147078,2615337,6007483,2899580,11522400
205826,4797,7590622,3931778,2540374,6266603,2715423,11522400
208327,4800,7132000,4390400,2521722,5848068,3152610,11522400
210415,4787,7642714,3879686,2871842,6133723,2516835,11522400
211720,4712,6863933,4658467,2445704,5616684,3460012,11522400
231928,4794,7786682,3735718,2364760,6556555,2601085,11522400
249947,4800,7900808,3621592,2240182,6735912,2546306,11522400
250427,4799,7605634,3916766,2670943,6208201,2643256,11522400
251833,4800,7362735,4159665,3200356,5676956,2645088,11522400
255639,4800,7596105,3926295,2918984,6070825,2532591,11522400
303624,4774,7074416,4447984,2908297,5564505,3049598,11522400
307127,4799,7413438,4108962,2870251,5920867,2731282,11522400
329440,4791,7476371,4046029,2475377,6199218,2847805,11522400
371843,4792,7858322,3664078,2238621,6692513,2591266,11522400
386250,4799,7431448,4090952,2849598,5947311,2725491,11522400
395958,4771,7108723,4413677,2846038,5640060,3036302,11522400
497865,4792,7194313,4328087,2750380,5774840,2997180,11522400
500222,4800,7202364,4320036,2598033,5864188,3060179,11522400
552544,4800,7657764,3864636,2174375,6531117,2816908,11522400
561242,4800,7099238,4423162,2827994,5635907,3058499,11522400
568963,4800,7558146,3964254,2400600,6313949,2807851,11522400
573451,4800,7681029,3841371,2458224,6399050,2665126,11522400
579665,4781,8010741,3511659,2502246,6678315,2341839,11522400
638049,4800,8022945,3499455,2298327,6817557,2406516,11522400
654754,4784,7480645,4041755,2426790,6226018,2869592,11522400
672756,4800,7829759,3692641,2290282,6634227,2597891,11522400
679568,4800,7182181,4340219,3178122,5526510,2817768,11522400
683256,4799,7853265,3669135,2330352,6633938,2558110,11522400
687163,4779,7249047,4273353,2870497,5755240,2896663,11522400
702133,4760,7293362,4229038,2545473,5984829,2992098,11522400
751348,4800,7459314,4063086,2376515,6223463,2922422,11522400
753251,4788,7156357,4366043,2120332,6067002,3335066,11522400
756055,4790,7982131,3540269,2342914,6740538,2438948,11522400
779370,4771,7381137,4141263,2662140,6003875,2856385,11522400
789373,4800,7812095,3710305,2341730,6584646,2596024,11522400
802844,4789,6912298,4610102,3163977,5274945,3083478,11522400
816653,4800,7538859,3983541,2746206,6115342,2660852,11522400
865363,4786,7210561,4311839,2356047,6007776,3158577,11522400
871762,4800,7647933,3874467,2567191,6302646,2652563,11522400
877269,4799,7520255,4002145,2606581,6152041,2763778,11522400
894673,4800,8043913,3478487,2417751,6769938,2334711,11522400
896778,4792,7941121,3581279,2316102,6726035,2480263,11522400
901442,4800,7761764,3760636,2795963,6287980,2438457,11522400
917255,4799,7546163,3976237,2283869,6365754,2872777,11522400
932554,4800,7458467,4063933,2553117,6131944,2837339,11522400
951457,4798,7725713,3796687,2728994,6282186,2511220,11522400
978578,4798,7271029,4251371,2888903,5775913,2857584,11522400
